Concatenar;Status;Semi-acabado;Descrição Semi-acabado;Qtd Semi-acabado;Centro Semi-acabado;Matéria-Prima;Descrição Matéria-Prima;Qtd Matéria-Prima;UN Matéria-Prima;;;
8700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010739;LACTOSE (50/70); 238,216 ;KG;;;
9700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010923;CROSCARMELOSE SODICA; 28,571 ;KG;;;
10700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010978;ETILCELULOSE 10 CPS(ETHOCEL 10 CPS); 7,142 ;KG;;;
11700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;010979;HPMC+PEG; 21,429 ;KG;;;
12700393;SEMI ACABADO;700393;CLOR.DOXICICLINA 100MG COMP REV;2.142.863;600;011343;CLORIDRATO DE DOXICICLINA; 222,500 ;KG;;;
1700411;SEMI ACABADO;700411;BESILATO DE ANLODIPINO 5MG COMP;3.900.000;600;010071;CELULOSE MIC (TIPO200); 302,250 ;KG;;;
2700411;SEMI ACABADO;700411;BESILATO DE ANLODIPINO 5MG COMP;3.900.000;600;010311;ESTEARATO MAGNESIO; 6,825 ;KG;;;
3700411;SEMI ACABADO;700411;BESILATO DE ANLODIPINO 5MG COMP;3.900.000;600;010731;FOSF.CAL.DIB.(COMPDIRETA); 312,000 ;KG;;;
4700411;SEMI ACABADO;700411;BESILATO DE ANLODIPINO 5MG COMP;3.900.000;600;010923;CROSCARMELOSE SODICA; 19,500 ;KG;;;
5700411;SEMI ACABADO;700411;BESILATO DE ANLODIPINO 5MG COMP;3.900.000;600;011360;BESILATO DE ANLODIPINO; 28,275 ;KG;;;
1700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;010071;CELULOSE MIC (TIPO200); 287,100 ;KG;;;
2700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;010177;COR ALUM LACA AMARELO TARTRAZINA 5; 0,495 ;KG;;;
3700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;010311;ESTEARATO MAGNESIO; 6,930 ;KG;;;
4700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;010731;FOSF.CAL.DIB.(COMPDIRETA); 306,900 ;KG;;;
5700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;010923;CROSCARMELOSE SODICA; 19,800 ;KG;;;
6700412;SEMI ACABADO;700412;BESILATO DE ANLODIPINO 10MG COMP;3.960.000;600;011360;BESILATO DE ANLODIPINO; 57,420 ;KG;;;
1700442;SEMI ACABADO;700442;CLORIDRATO FLUOXETINA(C1) 20MG CAPS;2.000.000;600;010071;CELULOSE MIC (TIPO200); 250,200 ;KG;;;
2700442;SEMI ACABADO;700442;CLORIDRATO FLUOXETINA(C1) 20MG CAPS;2.000.000;600;010311;ESTEARATO MAGNESIO; 5,000 ;KG;;;
3700442;SEMI ACABADO;700442;CLORIDRATO FLUOXETINA(C1) 20MG CAPS;2.000.000;600;302186;CAPS 2 AZUL/BRANCA; 2.000.000,000 ;UN;;;
4700442;SEMI ACABADO;700442;CLORIDRATO FLUOXETINA(C1) 20MG CAPS;2.000.000;600;011513;CLOR.FLUOXETINA   (C1)**; 44,800 ;KG;;;
1700465;SEMI ACABADO;700465;ITRACONAZOL 100 MG CAPSULA DURA ;416.611;600;010741;CAPS 0 ESC / AZUL; 416.611,000 ;UN;;;
2700465;SEMI ACABADO;700465;ITRACONAZOL 100 MG CAPSULA DURA ;416.611;600;011403;ITRACONAZOL PELLETS; 189,350 ;KG;;;
1700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 0,850 ;KG;;;
2700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010046;ALCOOL ETILICO; 32,500 ;KG;;;
3700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010071;CELULOSE MIC (TIPO200); 135,540 ;KG;;;
4700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010228;DIOXIDO TITANIO; 1,350 ;KG;;;
5700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010311;ESTEARATO MAGNESIO; 1,250 ;KG;;;
6700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010328;OLEO VEGETAL HIDROGENADO (LUBRITAB); 5,000 ;KG;;;
7700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010720;CLORETO METILENO (D2)**; 32,500 ;KG;;;
8700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010923;CROSCARMELOSE SODICA; 5,000 ;KG;;;
9700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010978;ETILCELULOSE 10 CPS(ETHOCEL 10 CPS); 1,200 ;KG;;;
10700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;010979;HPMC+PEG; 3,300 ;KG;;;
11700574;SEMI ACABADO;700574;CLOR. FLUOXETINA (C1) 20MG COM REV**;1.000.000;600;011513;CLOR.FLUOXETINA   (C1)**; 22,360 ;KG;;;
1700590;SEMI ACABADO;700590;CLORIDRATO FLUOXETINA(C1) 10MG CAP**;1.000.000;600;010071;CELULOSE MIC (TIPO200); 68,150 ;KG;;;
2700590;SEMI ACABADO;700590;CLORIDRATO FLUOXETINA(C1) 10MG CAP**;1.000.000;600;011513;CLOR.FLUOXETINA   (C1)**; 5,600 ;KG;;;
3700590;SEMI ACABADO;700590;CLORIDRATO FLUOXETINA(C1) 10MG CAP**;1.000.000;600;010311;ESTEARATO MAGNESIO; 1,250 ;KG;;;
4700590;SEMI ACABADO;700590;CLORIDRATO FLUOXETINA(C1) 10MG CAP**;1.000.000;600;302185;CAPS 2 AZUL/AZUL; 1.000.000,000 ;KG;;;
1700663;SEMI ACABADO;700663;CLARITROMICINA 500MG COMP REV;500.000;600;011054;CLARITROMICINA; 260,000 ;KG;;;
2700663;SEMI ACABADO;700663;CLARITROMICINA 500MG COMP REV;500.000;600;011018;AMIDO DE MILHO PREGELATINIZADO; 27,948 ;KG;;;
3700663;SEMI ACABADO;700663;CLARITROMICINA 500MG COMP REV;500.000;600;010041;DIOXIDO SILICIO COLOIDAL ANIDRO; 3,333 ;KG;;;
4700663;SEMI ACABADO;700663;CLARITROMICINA 500MG COMP REV;500.000;600;010071;CELULOSE MIC (TIPO200); 165,385 ;KG;;;
